Name,Token,Symbol,Exch Seg
BRITANNIA,547,BRITANNIA-EQ,NSE
HAVELLS,9819,HAVELLS-EQ,NSE
ICICIGI,21770,ICICIGI-EQ,NSE
SHRIRAMFIN,4306,SHRIRAMFIN-EQ,NSE
CHOLAFIN,685,CHOLAFIN-EQ,NSE
MCDOWELL-N,10447,MCDOWELL-N-EQ,NSE
MRF,2277,MRF-EQ,NSE
SBILIFE,21808,SBILIFE-EQ,NSE
DIVISLAB,10940,DIVISLAB-EQ,NSE
BOSCHLTD,2181,BOSCHLTD-EQ,NSE
ALKEM,11703,ALKEM-EQ,NSE
PIDILITIND,2664,PIDILITIND-EQ,NSE
ADANIENT,25,ADANIENT-EQ,NSE
ACC,22,ACC-EQ,NSE
COALINDIA,20374,COALINDIA-EQ,NSE
M&MFIN,13285,M&MFIN-EQ,NSE
BIOCON,11373,BIOCON-EQ,NSE
OBEROIRLTY,20242,OBEROIRLTY-EQ,NSE
FORTIS,14592,FORTIS-EQ,NSE
IPCALAB,1633,IPCALAB-EQ,NSE
ULTRACEMCO,11532,ULTRACEMCO-EQ,NSE
MUTHOOTFIN,23650,MUTHOOTFIN-EQ,NSE
RECLTD,15355,RECLTD-EQ,NSE
ADANIGREEN,3563,ADANIGREEN-EQ,NSE
IDFCFIRSTB,11184,IDFCFIRSTB-EQ,NSE
AUROPHARMA,275,AUROPHARMA-EQ,NSE
UNIONBANK,10753,UNIONBANK-EQ,NSE
PGHH,2535,PGHH-EQ,NSE
ASTRAL,14418,ASTRAL-EQ,NSE
CGPOWER,760,CGPOWER-EQ,NSE
DRREDDY,881,DRREDDY-EQ,NSE
BHEL,438,BHEL-EQ,NSE
CROMPTON,17094,CROMPTON-EQ,NSE
POLYCAB,9590,POLYCAB-EQ,NSE
ADANIENSOL,10217,ADANIENSOL-EQ,NSE
HCLTECH,7229,HCLTECH-EQ,NSE
DLF,14732,DLF-EQ,NSE
FEDERALBNK,1023,FEDERALBNK-EQ,NSE
BANKBARODA,4668,BANKBARODA-EQ,NSE
AUBANK,21238,AUBANK-EQ,NSE
TCS,11536,TCS-EQ,NSE
ITC,1660,ITC-EQ,NSE
DELHIVERY,9599,DELHIVERY-EQ,NSE
ASHOKLEY,212,ASHOKLEY-EQ,NSE
PAGEIND,14413,PAGEIND-EQ,NSE
TATAELXSI,3411,TATAELXSI-EQ,NSE
IRFC,2029,IRFC-EQ,NSE
SYNGENE,10243,SYNGENE-EQ,NSE
NAUKRI,13751,NAUKRI-EQ,NSE
ADANIPOWER,N/A,N/A,N/A
AXISBANK,5900,AXISBANK-EQ,NSE
RELIANCE,2885,RELIANCE-EQ,NSE
LICHSGFIN,1997,LICHSGFIN-EQ,NSE
LICI,9480,LICI-EQ,NSE
EICHERMOT,910,EICHERMOT-EQ,NSE
DABUR,772,DABUR-EQ,NSE
BAJFINANCE,317,BAJFINANCE-EQ,NSE
BDL,2144,BDL-EQ,NSE
BERGEPAINT,404,BERGEPAINT-EQ,NSE
APOLLOHOSP,157,APOLLOHOSP-EQ,NSE
HDFCLIFE,467,HDFCLIFE-EQ,NSE
PATANJALI,17029,PATANJALI-EQ,NSE
PFC,14299,PFC-EQ,NSE
TITAN,3506,TITAN-EQ,NSE
ASIANPAINT,236,ASIANPAINT-EQ,NSE
DALBHARAT,8075,DALBHARAT-EQ,NSE
DIXON,21690,DIXON-EQ,NSE
HINDALCO,1363,HINDALCO-EQ,NSE
ICICIPRULI,18652,ICICIPRULI-EQ,NSE
RAMCOCEM,2043,RAMCOCEM-EQ,NSE
ZEEL,3812,ZEEL-EQ,NSE
ESCORTS,958,ESCORTS-EQ,NSE
SBIN,3045,SBIN-EQ,NSE
JSWSTEEL,11723,JSWSTEEL-EQ,NSE
ICICIBANK,4963,ICICIBANK-EQ,NSE
WIPRO,3787,WIPRO-EQ,NSE
LTTS,18564,LTTS-EQ,NSE
NTPC,11630,NTPC-EQ,NSE
BHARATFORG,422,BHARATFORG-EQ,NSE
CONCOR,4749,CONCOR-EQ,NSE
PRESTIGE,20302,PRESTIGE-EQ,NSE
TATACOMM,3721,TATACOMM-EQ,NSE
TECHM,13538,TECHM-EQ,NSE
COROMANDEL,739,COROMANDEL-EQ,NSE
HINDUNILVR,1394,HINDUNILVR-EQ,NSE
GODREJPROP,17875,GODREJPROP-EQ,NSE
YESBANK,11915,YESBANK-EQ,NSE
ONGC,2475,ONGC-EQ,NSE
ATGL,6066,ATGL-EQ,NSE
BAJAJHLDNG,305,BAJAJHLDNG-EQ,NSE
LTIM,17818,LTIM-EQ,NSE
CANBK,10794,CANBK-EQ,NSE
VBL,18921,VBL-EQ,NSE
ABCAPITAL,21614,ABCAPITAL-EQ,NSE
ABFRL,30108,ABFRL-EQ,NSE
SBICARD,17971,SBICARD-EQ,NSE
M&M,2031,M&M-EQ,NSE
GLAND,1186,GLAND-EQ,NSE
KOTAKBANK,1922,KOTAKBANK-EQ,NSE
HEROMOTOCO,1348,HEROMOTOCO-EQ,NSE
BEL,383,BEL-EQ,NSE
MARICO,4067,MARICO-EQ,NSE
NAVINFLUOR,14672,NAVINFLUOR-EQ,NSE
OIL,17438,OIL-EQ,NSE
SRF,3273,SRF-EQ,NSE
BATAINDIA,371,BATAINDIA-EQ,NSE
LT,11483,LT-EQ,NSE
HDFCBANK,1333,HDFCBANK-EQ,NSE
FLUOROCHEM,13750,FLUOROCHEM-EQ,NSE
SUNTV,13404,SUNTV-EQ,NSE
DEEPAKNTR,19943,DEEPAKNTR-EQ,NSE
MARUTI,10999,MARUTI-EQ,NSE
COFORGE,11543,COFORGE-EQ,NSE
IGL,11262,IGL-EQ,NSE
TATAMTRDVR,16965,TATAMTRDVR-EQ,NSE
MAZDOCK,509,MAZDOCK-EQ,NSE
TATAMOTORS,3456,TATAMOTORS-EQ,NSE
DEVYANI,5373,DEVYANI-EQ,NSE
JINDALSTEL,6733,JINDALSTEL-EQ,NSE
LALPATHLAB,11654,LALPATHLAB-EQ,NSE
UBL,16713,UBL-EQ,NSE
UPL,11287,UPL-EQ,NSE
PETRONET,11351,PETRONET-EQ,NSE
JSWENERGY,17869,JSWENERGY-EQ,NSE
PERSISTENT,18365,PERSISTENT-EQ,NSE
INDUSINDBK,5258,INDUSINDBK-EQ,NSE
SAIL,2963,SAIL-EQ,NSE
AWL,8110,AWL-EQ,NSE
VEDL,3063,VEDL-EQ,NSE
JUBLFOOD,18096,JUBLFOOD-EQ,NSE
VOLTAS,3718,VOLTAS-EQ,NSE
POWERGRID,14977,POWERGRID-EQ,NSE
LAURUSLABS,19234,LAURUSLABS-EQ,NSE
INFY,1594,INFY-EQ,NSE
INDHOTEL,1512,INDHOTEL-EQ,NSE
IDEA,14366,IDEA-EQ,NSE
BALKRISIND,335,BALKRISIND-EQ,NSE
MPHASIS,4503,MPHASIS-EQ,NSE
POLICYBZR,6656,POLICYBZR-EQ,NSE
BAJAJ-AUTO,16669,BAJAJ-AUTO-EQ,NSE
PAYTM,6705,PAYTM-EQ,NSE
BANDHANBNK,2263,BANDHANBNK-EQ,NSE
PEL,2412,PEL-EQ,NSE
TATAPOWER,3426,TATAPOWER-EQ,NSE
KPITTECH,9683,KPITTECH-EQ,NSE
TATASTEEL,3499,TATASTEEL-EQ,NSE
GUJGASLTD,10599,GUJGASLTD-EQ,NSE
GAIL,4717,GAIL-EQ,NSE
FACT,1008,FACT-EQ,NSE
NMDC,15332,NMDC-EQ,NSE
MSUMI,8596,MSUMI-EQ,NSE
APOLLOTYRE,163,APOLLOTYRE-EQ,NSE
L&TFH,24948,L&TFH-EQ,NSE
MOTHERSON,4204,MOTHERSON-EQ,NSE
INDUSTOWER,29135,INDUSTOWER-EQ,NSE
ZOMATO,5097,ZOMATO-EQ,NSE
TATACONSUM,3432,TATACONSUM-EQ,NSE
TATACHEM,3405,TATACHEM-EQ,NSE
